id,title,author,publisher,publication_year,category,isbn,quantity
5964,Men of Iron,Howard Pyle,Harper & Brothers,1891    ,Children,978-0486433547,17
5965,Chinese Cinderella,Adeline Yen Mah,Delacorte Press,1999    ,Children,978-0385740074,11
5966,The Autobiography of Alice B. Toklas,Gertrude Stein,"Harcourt, Brace",1933    ,Children,978-0679724636,12
5967,Крейцерова соната,Лев Толстой,The Russian Messenger,1880    ,Children,978-0140447033,4
5968,The Golem's Eye,Jonathan Stroud,Jonathan Cape,2004    ,Children,978-0141315140,20
5969,The Miraculous Journey of Edward Tulane,Kate DiCamillo,Candlewick Press,2000    ,Children,978-0763680909,1
5970,Rosie's walk,Pat Hutchins,Macmillan,1967    ,Children,978-0020437505,8
5971,Percy Jackson's Greek Gods,Rick Riordan,Disney-Hyperion,2006    ,Children,978-1423183648,5
5972,The Egypt game,Zilpha Keatley Snyder,Atheneum,1967    ,Children,978-0689825996,1
5973,The Lemonade War,"Davies, Jacqueline",Houghton Mifflin,2007    ,Children,978-0547119618,1
5974,A Long Way Gone,Ishmael Beah,Sarah Crichton Books,2007    ,Children,978-0374531263,10
5975,The Three Little Pigs,James Orchard Halliwell-Phillipps,William Heinemann,1962    ,Children,978-0723247012,20
5976,Magic Kingdom For Sale/Sold!,Terry Brooks,Del Rey,1984    ,Children,978-0345317582,7
5977,The color of water,James McBride,Riverhead Books,1995    ,Children,978-1573225786,8
5978,The Glass Castle,Jeannette Walls,Scribner,2005    ,Children,978-0743247542,3
5979,Demon Dentist,David Walliams,HarperCollins,1900    ,Children,978-0007453580,7
5980,Kill Alex Cross,James Patterson,"Little, Brown",2011    ,Children,978-0316198837,18
5981,Me Talk Pretty One Day,David Sedaris,"Little, Brown",2000    ,Children,978-0316776967,14
5982,The Cat in the Hat Comes Back,Dr. Seuss,Random House,1958    ,Children,978-0394800011,8
5983,Damals war es Friedrich,Hans Peter Richter,dtv Verlagsgesellschaft,1963    ,Children,978-3423078009,8
5984,Wayside School is Falling Down (Wayside School #2),Louis Sachar,HarperCollins,1989    ,Children,978-0380723812,2
5985,La Sonrisa De Mona Ratisa,Elisabetta Dami,Destino Infantil & Juvenil,1999    ,Children,978-8408064978,20
5986,The gift of the Magi,O. Henry,"Doubleday, Page & Co.",1906    ,Children,978-1402745720,1
5987,My Teacher Is an Alien,Bruce Coville,Pocket Books,1989    ,Children,978-0671737290,8
5988,The Little White Horse,Elizabeth Goudge,University of London Press,1920    ,Children,978-0142300275,1
5989,The Dark Prophecy,Rick Riordan,Disney-Hyperion,2017    ,Children,978-1484746424,7
5990,The Grand Design,Stephen Hawking,Bantam Books,1998    ,Children,978-0553384666,20
5991,Stink,Megan McDonald,Candlewick Press,2001    ,Children,978-0763628918,1
5992,Kilmeny of the orchard,Lucy Maud Montgomery,L.C. Page & Co.,1910    ,Children,978-1550811568,9
5993,A Long Walk to Water( Linda Sue Park),Linda Sue Park,Clarion Books,2008    ,Children,978-0547577319,12
5994,Judy Moody was in a Mood,Megan McDonald,Candlewick Press,2000    ,Children,978-0763648497,7
5995,The Grey Fairy Book,Andrew Lang,"Longmans, Green, and Co.",1900    ,Children,978-0486217543,18
5996,Thomas and Friends,Reverend W. Awdry,Egmont,2003    ,Children,978-1405203302,14
5997,An Occurrence at Owl Creek Bridge,Ambrose Bierce,The San Francisco Examiner,1980    ,Children,978-1420952049,12
5998,El castillo de Roca Tacaña,Elisabetta Dami,Planeta,1999    ,Children,978-8408082699,11
5999,Double Star,Robert A. Heinlein,Doubleday,1956    ,Children,978-0345321350,13
6000,A single shard,Linda Sue Park,Clarion Books,2001    ,Children,978-0547534268,4
6001,The Giver,Lois Lowry,HMH Books,1993    ,Fiction,978-0544336261,10
6002,Dorothy and the Wizard in Oz,L. Frank Baum,CreateSpace,1908    ,Fiction,978-1512140408,12
6003,Noli Me Tangere,José Rizal,Penguin Classics,1902    ,Fiction,978-0143039693,14
6004,The Time Machine,H. G. Wells,Penguin Classics,1895    ,Fiction,978-0141439976,15
6005,Dune,Frank Herbert,Ace,1965    ,Fiction,978-0441172719,13
6006,Du côté de chez Swann,Marcel Proust,Penguin Classics,1908    ,Fiction,978-0142437964,12
6007,Die Blechtrommel,Günter Grass,Mariner Books,1959    ,Fiction,978-0547348667,3
6008,The Marvelous Land of Oz,L. Frank Baum,Dover Publications,1904    ,Fiction,978-0486206929,15
6009,Tender is the Night,F. Scott Fitzgerald,Scribner,1933    ,Fiction,978-0684801544,7
6010,The Sea Fairies,L. Frank Baum,Digireads,1911    ,Fiction,978-1420934069,9
6011,Le roman du masque de fer,Alexandre Dumas,Digireads,1600    ,Fiction,978-1420935578,1
6012,The Murder at the Vicarage,Agatha Christie,William Morrow,1930    ,Fiction,978-0062073563,15
6013,The Legend of Sleepy Hollow,Washington Irving,CreateSpace,1820    ,Fiction,978-1503262522,18
6014,A Modern Utopia,H. G. Wells,Penguin Classics,1900    ,Fiction,978-0141441481,7
6015,L’étranger,Albert Camus,Vintage,1942    ,Fiction,978-0679720201,19
6016,The King in Yellow,Robert W. Chambers,CreateSpace,1895    ,Fiction,978-1502392022,6
6017,Martin Eden,Jack London,Penguin Classics,1908    ,Fiction,978-0140187724,20
6018,The Waves,Virginia Woolf,Harcourt,1931    ,Fiction,978-0156949606,4
6019,Phantastes,George MacDonald,Eerdmans,1850    ,Fiction,978-0802860392,15
6020,Sult,Knut Hamsun,Penguin Classics,1890    ,Fiction,978-0141180649,9
6021,El amor en los tiempos del cólera,Gabriel García Márquez,Vintage,1985    ,Fiction,978-0307387738,12
6022,The Bell Jar,Sylvia Plath,Harper Perennial,1963    ,Fiction,978-0060837020,10
6023,Of Human Bondage,William Somerset Maugham,Penguin Classics,1915    ,Fiction,978-0140185225,13
6024,Herland,Charlotte Perkins Gilman,Penguin Classics,1915    ,Fiction,978-0140046687,18
6025,The Story of the Amulet,Edith Nesbit,Puffin,1905    ,Fiction,978-0140301168,16
6026,The Handmaid's Tale,Margaret Atwood,Anchor,1985    ,Fiction,978-0385490818,12
6027,One Flew Over the Cuckoo's Nest,Ken Kesey,Signet,1962    ,Fiction,978-0451163967,8
6028,A Room with a View,E. M. Forster,Penguin Classics,1905    ,Fiction,978-0141183299,13
6029,Мы,Евгений Иванович Замятин,Penguin Classics,1924    ,Fiction,978-0140185850,13
6030,Robin Hood,Howard Pyle,Digireads,1883    ,Fiction,978-1420931587,17
6031,The Road to Oz,L. Frank Baum,Digireads,1909    ,Fiction,978-1420934076,17
6032,The blue castle,Lucy Maud Montgomery,McClelland & Stewart,1926    ,Fiction,978-0771062636,16
6033,The Iron Heel,Jack London,Penguin Classics,1907    ,Fiction,978-0140187717,2
6034,The Importance of Being Earnest,Oscar Wilde,Dover Publications,1893    ,Fiction,978-0486264783,17
6035,Мастер и Маргарита,Михаил Афанасьевич Булгаков,Penguin Classics,1966    ,Fiction,978-0143108252,11
6036,Братья Карамазовы,Фёдор Михайлович Достоевский,Penguin Classics,1880    ,Fiction,978-0140449242,16
6037,Dracula,Bram Stoker,Penguin Classics,1897    ,Fiction,978-0141439846,19
6038,The Awakening,Kate Chopin,Dover Publications,1899    ,Fiction,978-0486277868,13
6039,La Peste,Albert Camus,Vintage,1942    ,Fiction,978-0679720218,9
6040,The Pearl,John Steinbeck,Penguin Books,1945    ,Fiction,978-0140177374,15
6041,Murder on the Links,Agatha Christie,William Morrow,1923    ,Fiction,978-0062073501,12
6042,On the Beach,Nevil Shute,Vintage,1957    ,Fiction,978-0307473974,14
6043,Northanger Abbey,Jane Austen,Penguin Classics,1818    ,Fiction,978-0141439792,6
6044,Frankenstein or The Modern Prometheus,Mary Shelley,Penguin Classics,1818    ,Fiction,978-0141439471,17
6045,Die Leiden des jungen Werthers,Johann Wolfgang von Goethe,Penguin Classics,1779    ,Fiction,978-0140445039,18
6046,Love and Freindship,Jane Austen,Penguin Classics,1995    ,Fiction,978-0140433340,16
6047,The Napoleon of Notting Hill,Gilbert Keith Chesterton,Dover Publications,1904    ,Fiction,978-0486265513,7
6048,"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,Penguin Classics,1872    ,Fiction,978-0140431230,8
6049,Kim,Rudyard Kipling,Penguin Classics,1901    ,Fiction,978-0140432244,10
6050,Смерть Ивана Ильича,Лев Толстой,Penguin Classics,1887    ,Fiction,978-0140449617,7
6051,Jo's Boys,Louisa May Alcott,Puffin,1886    ,Fiction,978-0140366655,1
6052,When the Sleeper Awakes,H. G. Wells,Penguin Classics,1899    ,Fiction,978-0141441207,7
6053,Das Schloß,Franz Kafka,Schocken,1926    ,Fiction,978-0805210446,20
6054,Kinder- und Hausmärchen,Gebrüder Grimm [Brothers Grimm],Penguin Classics,1812    ,Fiction,978-0140449013,4
6055,Ordeal by Innocence,Agatha Christie,William Morrow,1958    ,Fiction,978-0062073716,19
6056,Works (Awakening / Beyond the Bayou / Desiree's Baby / Kiss / Locket / Ma'ame Pelagie / Pair of Silk Stockings / Reflection / Respectable Woman),Kate Chopin,Library of America,1981    ,Fiction,978-0940450837,18
6057,The Man Who Was Thursday,Gilbert Keith Chesterton,Penguin Classics,1908    ,Fiction,978-0140183887,5
6058,The food of the gods and how it came to earth,H. G. Wells,Penguin Classics,1900    ,Fiction,978-0141441313,9
6059,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Penguin Classics,1875    ,Fiction,978-0141439730,20
6060,"Villette, a novel",Charlotte Brontë,Penguin Classics,1853    ,Fiction,978-0140434798,20
6061,Memoirs of Fanny Hill,John Cleland,Penguin Classics,1749    ,Fiction,978-0140432497,6
6062,The War of the Worlds,H. G. Wells,Penguin Classics,0    ,Fiction,978-0141441030,13
6063,The Adventures of Tom Sawyer,Mark Twain,Penguin Classics,1817    ,Fiction,978-0143039563,20
6064,The First Men in the Moon,H. G. Wells,Penguin Classics,1900    ,Fiction,978-0141441320,8
6065,Whose Body?,Dorothy L. Sayers,Harper Paperbacks,1923    ,Fiction,978-0062196187,6
6066,Black Beauty,Anna Sewell,Puffin,1877    ,Fiction,978-0141334882,7
6067,Доктор Живаго,Boris Leonidovich Pasternak,Vintage,1957    ,Fiction,978-0307390950,7
6068,Les Liaisons dangereuses,Pierre Choderlos de Laclos,Penguin Classics,1782    ,Fiction,978-0140449570,12
6069,On The Road,Jack Kerouac,Penguin Books,1957    ,Fiction,978-0140283297,14
6070,Преступление и наказание,Фёдор Михайлович Достоевский,Penguin Classics,1866    ,Fiction,978-0140449136,17
6071,Cranford,Elizabeth Cleghorn Gaskell,Penguin Classics,1853    ,Fiction,978-0141439259,13
6072,Pollyanna,Eleanor Hodgman Porter,Digireads,1912    ,Fiction,978-1420930795,13
6073,A Tale of Two Cities,Charles Dickens,Penguin Classics,1800    ,Fiction,978-0141439600,16
6074,Moby Dick,Herman Melville,Penguin Classics,1851    ,Fiction,978-0142437247,20
6075,The Jewel of Seven Stars,Bram Stoker,Penguin Classics,1902    ,Fiction,978-0141441719,18
6076,Les Trois Mousquetaires,Alexandre Dumas,Penguin Classics,1844    ,Fiction,978-0140440454,6
6077,The Age of Innocence,Edith Wharton,Penguin Classics,1920    ,Fiction,978-0140189704,18
6078,Orlando,Virginia Woolf,Harcourt,1928    ,Fiction,978-0156701600,20
6079,Wuthering Heights,Emily Brontë,Penguin Classics,1846    ,Fiction,978-0141439556,9
6080,Les Misérables,Victor Hugo,Penguin Classics,1862    ,Fiction,978-0140444308,5
6081,Hallowe'en Party,Agatha Christie,William Morrow,1969    ,Fiction,978-0062073686,3
6082,The Last Man,Mary Shelley,Penguin Classics,1826    ,Fiction,978-0140433845,1
6083,Uncle Tom's Cabin,Harriet Beecher Stowe,Penguin Classics,1850    ,Fiction,978-0140390032,5
6084,The Hobbit,J.R.R. Tolkien,Mariner Books,1937    ,Fiction,978-0547928226,4
6085,The Mirror Crack'd from Side to Side,Agatha Christie,William Morrow,1960    ,Fiction,978-0062073662,9
6086,The Last of the Mohicans,James Fenimore Cooper,Penguin Classics,1826    ,Fiction,978-0140390247,7
6087,The Complete Life and Adventures of Santa Claus,L. Frank Baum,Digireads,1902    ,Fiction,978-1420933727,10
6088,Genji monogatari,Murasaki Shikibu,Penguin Classics,1900    ,Fiction,978-0142437148,1
6089,The Red Pony,John Steinbeck,Penguin Books,1933    ,Fiction,978-0140177367,4
6090,Decamerone,Giovanni Boccaccio,Penguin Classics,1516    ,Fiction,978-0140449303,14
6091,Анна Каренина,Лев Толстой,Penguin Classics,1876    ,Fiction,978-0143035008,4
6092,Vingt mille lieues sous les mers,Jules Verne,Puffin,1870    ,Fiction,978-0141329499,5
6093,La casa de los espíritus,Isabel Allende,Vintage Español,1982    ,Fiction,978-1400032167,4
6094,Animal Farm,George Orwell,Signet,1945    ,Fiction,978-0451526342,5
6095,A Princess of Mars,Edgar Rice Burroughs,Penguin Classics,1917    ,Fiction,978-0143105602,12
6096,White Fang,Jack London,Penguin Classics,1905    ,Fiction,978-0140620924,14
6097,A Connecticut Yankee in King Arthur's Court,Mark Twain,Penguin Classics,1889    ,Fiction,978-0140430165,11
6098,Good wives,Louisa May Alcott,Puffin,1870    ,Fiction,978-0141323381,8
6099,The Pickwick Papers,Charles Dickens,Penguin Classics,1800    ,Fiction,978-0140436112,17
6100,Oliver Twist,Charles Dickens,Penguin Classics,1822    ,Fiction,978-0141439747,1
6101,Sense and Sensibility,Jane Austen,Penguin Classics,1811    ,Fiction,978-0141439662,14
6102,O Alquimista,Paulo Coelho,HarperOne,1988    ,Fiction,978-0062315007,5
6103,The Invisible Man,H. G. Wells,Penguin Classics,0    ,Fiction,978-0141439983,3
6104,The Riddle of the Sands,Erskine Childers,Penguin Classics,1903    ,Fiction,978-0141181592,2
6105,Xi you ji,Wu Cheng'en,Penguin Classics,1900    ,Fiction,978-0140444346,11
6106,Der Zauberberg,Thomas Mann,Everyman's Library,1924    ,Fiction,978-1400079155,18
6107,The Jungle,Upton Sinclair,Penguin Classics,1707    ,Fiction,978-0140390476,7
6108,The House of the Seven Gables,Nathaniel Hawthorne,Penguin Classics,1851    ,Fiction,978-0140390056,11
6109,The Castle of Otranto,Horace Walpole,Penguin Classics,1764    ,Fiction,978-0140437676,4
6110,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,Ecco,1600    ,Fiction,978-0060934347,17
6111,The Prince and the Pauper,Mark Twain,Penguin Classics,1881    ,Fiction,978-0140436129,15
6112,An American Tragedy,Theodore Dreiser,Signet,1900    ,Fiction,978-0451531551,4
6113,The Railway Children,Edith Nesbit,Puffin,1900    ,Fiction,978-0141321608,11
6114,Women in Love,D. H. Lawrence,Penguin Classics,1877    ,Fiction,978-0141441542,17
6115,La Chute,Albert Camus,Vintage,1917    ,Fiction,978-0679720225,16
6116,After the Funeral,Agatha Christie,William Morrow,1953    ,Fiction,978-0062073860,19
6117,Mrs. Dalloway,Virginia Woolf,Harcourt,1925    ,Fiction,978-0156628709,2
6118,Heart of Darkness,Joseph Conrad,Penguin Classics,1899    ,Fiction,978-0141441672,14
6119,The Picture of Dorian Gray,Oscar Wilde,Penguin Classics,1890    ,Fiction,978-0141439570,8
6120,Anne of Avonlea,Lucy Maud Montgomery,Bantam,1909    ,Fiction,978-0553213140,6
6121,Jane Eyre,Charlotte Brontë,Penguin Classics,1847    ,Fiction,978-0141441146,16
6122,Cien años de soledad,Gabriel García Márquez,Vintage Español,1967    ,Fiction,978-0307389732,18
6123,Anne of Green Gables,Lucy Maud Montgomery,Puffin,1908    ,Fiction,978-0141321592,10
6124,À rebours,Joris-Karl Huysmans,Penguin Classics,1884    ,Fiction,978-0140447637,10
6125,Slaughterhouse-Five,Kurt Vonnegut,Dial Press,1968    ,Fiction,978-0385333849,13
6126,My Ántonia,Willa Cather,Mariner Books,1818    ,Fiction,978-0395755143,11
6127,Ivanhoe,Sir Walter Scott,Penguin Classics,1800    ,Fiction,978-0140436587,9
6128,Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,Penguin Classics,1889    ,Fiction,978-0140621334,2
6129,Tik-Tok of Oz,L. Frank Baum,Digireads,1914    ,Fiction,978-1420932027,8
6130,The Hollow,Agatha Christie,William Morrow,1946    ,Fiction,978-0062073815,20
6131,The Man in the Brown Suit,Agatha Christie,William Morrow,1924    ,Fiction,978-0062073853,9
6132,The Secret Adversary,Agatha Christie,William Morrow,1922    ,Fiction,978-0062073792,19
6133,The Great Gatsby,F. Scott Fitzgerald,Scribner,1920    ,Fiction,978-0743273565,13
6134,The Mysterious Affair at Styles,Agatha Christie,Penguin Classics,1920    ,Fiction,978-0141441498,12
6135,The Grapes of Wrath,John Steinbeck,Penguin Classics,1939    ,Fiction,978-0143039433,13
6136,Far From the Madding Crowd,Thomas Hardy,Penguin Classics,1874    ,Fiction,978-0141439655,1
6137,The Silmarillion,J.R.R. Tolkien,Mariner Books,1977    ,Fiction,978-0544338012,14
6138,The Secret of Chimneys,Agatha Christie,William Morrow,1925    ,Fiction,978-0062073532,19
6139,The Old Curiosity Shop,Charles Dickens,Penguin Classics,1800    ,Fiction,978-0140437348,1
6140,Ulysses,James Joyce,Vintage,1914    ,Fiction,978-0679722762,19
6141,The Secret Agent,Joseph Conrad,Penguin Classics,1907    ,Fiction,978-0141180182,4
6142,4:50 from Paddington,Agatha Christie,William Morrow,1957    ,Fiction,978-0062073655,7
6143,Murder in Mesopotamia,Agatha Christie,William Morrow,1936    ,Fiction,978-0062073754,16
6144,Kidnapped,Robert Louis Stevenson,Penguin Classics,1886    ,Fiction,978-0141441061,6
6145,Flatland,Edwin Abbott Abbott,Penguin Classics,1884    ,Fiction,978-0140435313,8
6146,His Last Bow [8 stories],Arthur Conan Doyle,Dover Publications,1917    ,Fiction,978-0486422176,8
6147,The Wind in the Willows,Kenneth Grahame,Penguin Classics,1908    ,Fiction,978-0143039044,8
6148,Im Westen nichts Neues,Erich Maria Remarque,Ballantine,1928    ,Fiction,978-0449213902,20
6149,Howards End,E. M. Forster,Penguin Classics,1910    ,Fiction,978-0141183350,6
6150,The Good Earth,Pearl S. Buck,Washington Sq.,1931    ,Fiction,978-1416500353,1
6151,Our Mutual Friend,Charles Dickens,Penguin Classics,1800    ,Fiction,978-0140434972,3
6152,Through the Looking-Glass,Lewis Carroll,Penguin Classics,1865    ,Fiction,978-0141439761,3
6153,The Great God Pan,Arthur Machen,Echo Library,1894    ,Fiction,978-1406830538,7
6154,Peter Pan,J. M. Barrie,Puffin,1911    ,Fiction,978-0141322575,19
6155,Middlemarch,George Eliot,Penguin Classics,1871    ,Fiction,978-0141439549,3
6156,Casino Royale,Ian Fleming,Thomas & Mercer,1953    ,Fiction,978-1612185439,14
6157,The Story of Doctor Dolittle,Hugh Lofting,Puffin,1920    ,Fiction,978-0141324708,15
6158,At Bertram's Hotel,Agatha Christie,William Morrow,1965    ,Fiction,978-0062073808,17
6159,The Sign of Four,Arthur Conan Doyle,Penguin Classics,1889    ,Fiction,978-0141439037,13
6160,This Side of Paradise,F. Scott Fitzgerald,Scribner,1920    ,Fiction,978-0684843789,18
6161,They Do It with Mirrors,Agatha Christie,William Morrow,1952    ,Fiction,978-0062073846,14
6162,The Beautiful and Damned,F. Scott Fitzgerald,Scribner,1920    ,Fiction,978-0684801551,20
6163,The Last Battle,C. S. Lewis,HarperCollins,1956    ,Fiction,978-0064405058,2
6164,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,Penguin Classics,1889    ,Fiction,978-0141439761,20
6165,Finnegans Wake,James Joyce,Penguin Classics,1928    ,Fiction,978-0141181264,11
6166,Goodnight Moon,Margaret Wise Brown,HarperCollins,1947    ,Fiction,978-0060775858,14
6167,Daisy Miller,Henry James,Penguin Classics,1877    ,Fiction,978-0141441344,18
6168,The Horse and His Boy,C. S. Lewis,HarperCollins,1954    ,Fiction,978-0064405010,7
6169,The Secret Garden,Frances Hodgson Burnett,Puffin,1911    ,Fiction,978-0141321066,2
6170,The Sun Also Rises,Ernest Hemingway,Scribner,1926    ,Fiction,978-0684800714,8
6171,R.U.R. and The insect play,Karel Čapek,Oxford Univ. Press,1920    ,Fiction,978-0192810106,13
6172,Twilight,Stephenie Meyer,"Little, Brown",2005    ,Fiction,978-0316015844,6
6173,Der Proceß,Franz Kafka,Schocken,1825    ,Fiction,978-0805210408,10
6174,Lord Edgware Dies,Agatha Christie,William Morrow,1933    ,Fiction,978-0062073914,10
6175,Murder on the Orient Express,Agatha Christie,William Morrow,1933    ,Fiction,978-0062073556,7
6176,The Mystery of the Blue Train,Agatha Christie,William Morrow,1928    ,Fiction,978-0062073907,15
6177,Little men,Louisa May Alcott,Puffin,1885    ,Fiction,978-0140366686,4
6178,The Pillars of the Earth,Ken Follett,Signet,1989    ,Fiction,978-0451166890,14
6179,The Ugly Duckling,Hans Christian Andersen,Puffin,1851    ,Fiction,978-0698117570,1
6180,2001,Arthur C. Clarke,Roc,1968    ,Fiction,978-0451457997,3
6181,Sparkling Cyanide,Agatha Christie,William Morrow,1945    ,Fiction,978-0062073822,12
6182,The Woman in White,Wilkie Collins,Penguin Classics,1860    ,Fiction,978-0141439501,12
6183,Игрокъ,Фёдор Михайлович Достоевский,Penguin Classics,1900    ,Fiction,978-0140442465,10
6184,The Wonderful Wizard of Oz,L. Frank Baum,Puffin,1899    ,Fiction,978-0141321028,20
6185,Matilda,Roald Dahl,Puffin,1988    ,Fiction,978-0142410370,6
6186,Memórias póstumas de Brás Cubas,Machado de Assis,Penguin Classics,1881    ,Fiction,978-0143103097,5
6187,Nemesis,Agatha Christie,William Morrow,1970    ,Fiction,978-0062073891,3
6188,Bleak House,Charles Dickens,Penguin Classics,1850    ,Fiction,978-0141439723,9
6189,The Norton Anthology of English Literature,M. H. Abrams,W. W. Norton,1962    ,Fiction,978-0393912470,1
6190,The Witches,Roald Dahl,Puffin,1983    ,Fiction,978-0142410110,18
6191,Le Morte d'Arthur,Thomas Malory,Penguin Classics,1557    ,Fiction,978-0140431018,14
6192,To the Lighthouse,Virginia Woolf,Harcourt,1927    ,Fiction,978-0156907392,8
6193,Demian,Hermann Hesse,Penguin Classics,1919    ,Fiction,978-0143105480,8
6194,Appointment with Death,Agatha Christie,William Morrow,1938    ,Fiction,978-0062073938,8
6195,The Hunchback of Notre Dame,Victor Hugo,Penguin Classics,1831    ,Fiction,978-0140443530,12
6196,Brood of the Witch-Queen,Sax Rohmer,Echo Library,1924    ,Fiction,978-1406830545,17
6197,The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,Penguin Classics,1583    ,Fiction,978-0140183849,19
6198,Lord of the Flies,William Golding,Perigee,1954    ,Fiction,978-0399501487,7
6199,Lady Susan,Jane Austen,Penguin Classics,1925    ,Fiction,978-0141439587,11
6200,The Jungle Book,Rudyard Kipling,Puffin,1893    ,Fiction,978-0141325293,18
6201,The Murder of Roger Ackroyd,Agatha Christie,William Morrow,1926    ,Fiction,978-0062073556,5
6202,Le petit prince,Antoine de Saint-Exupéry,Mariner Books,1943    ,Fiction,978-0156012195,15
6203,She,H. Rider Haggard,Penguin Classics,1886    ,Fiction,978-0140437638,17
6204,Siddhartha,Hermann Hesse,Penguin Classics,1922    ,Fiction,978-0142437186,16
6205,Babbitt,Sinclair Lewis,Penguin Classics,1922    ,Fiction,978-0140189025,14
6206,Vanity Fair,William Makepeace Thackeray,Penguin Classics,1800    ,Fiction,978-0141439839,11
6207,Crooked House,Agatha Christie,William Morrow,1949    ,Fiction,978-0062073549,13
6208,A Portrait of the Artist as a Young Man,James Joyce,Penguin Classics,1818    ,Fiction,978-0142437346,6
6209,Emily of New Moon,Lucy Maud Montgomery,McClelland & Stewart,1923    ,Fiction,978-0771063329,5
6210,Emma,Jane Austen,Penguin Classics,1815    ,Fiction,978-0141439587,5
6211,Heidi,"Spyri, Johanna",Puffin,1885    ,Fiction,978-0141322568,20
6212,The Lost World,Arthur Conan Doyle,Penguin Classics,1900    ,Fiction,978-0140437072,9
6213,El Conde de Montecristo,Alexandre Dumas,Penguin Classics,1830    ,Fiction,978-0140449204,6
6214,Treasure Island,Robert Louis Stevenson,Puffin,1880    ,Fiction,978-0141321004,2
6215,Lilith,George MacDonald,Eerdmans,1895    ,Fiction,978-0802860606,10
6216,The Valley of Fear,Arthur Conan Doyle,Penguin Classics,1914    ,Fiction,978-0141439068,16
6217,Voyage au Centre de la Terre,Jules Verne,Penguin Classics,1867    ,Fiction,978-0141441979,2
6218,Hercule Poirot's Christmas,Agatha Christie,William Morrow,1939    ,Fiction,978-0062073730,5
6219,The Big Four,Agatha Christie,William Morrow,1927    ,Fiction,978-0062073976,16
6220,The Enchanted Castle,Edith Nesbit,Puffin,1907    ,Fiction,978-0140366662,1
6221,Cards on the Table,Agatha Christie,William Morrow,1936    ,Fiction,978-0062073952,15
6222,Ender's Game,Orson Scott Card,Tor Books,1985    ,Fiction,978-0812550702,20
6223,The Club of Queer Trades,Gilbert Keith Chesterton,Dover Publications,1900    ,Fiction,978-0486255347,6
6224,Curtain,Agatha Christie,William Morrow,1975    ,Fiction,978-0062074034,20
6225,Of Mice and Men,John Steinbeck,Penguin Books,1937    ,Fiction,978-0140177398,5
6226,Il Paradiso,Dante Alighieri,Penguin Classics,1595    ,Fiction,978-0140444438,15
6227,"Tom Sawyer, Detective",Mark Twain,Digireads,1897    ,Fiction,978-1420935547,5
6228,Peril at End House,Agatha Christie,William Morrow,1932    ,Fiction,978-0062073587,12
6229,Five Little Pigs,Agatha Christie,William Morrow,1942    ,Fiction,978-0062073570,16
6230,Anthem,Ayn Rand,Signet,1936    ,Fiction,978-0451191137,5
6231,The Hunger Games,Suzanne Collins,Scholastic,2008    ,Fiction,978-0439023528,17
6232,David Copperfield,Charles Dickens,Penguin Classics,1800    ,Fiction,978-0140439441,4
6233,Anne of the Island,Lucy Maud Montgomery,Bantam,1826    ,Fiction,978-0553213171,7
6234,Adventures of Huckleberry Finn,Mark Twain,Penguin Classics,1876    ,Fiction,978-0143107323,5
6235,A Christmas Carol,Charles Dickens,Penguin Classics,1843    ,Fiction,978-0141439525,9
6236,Pippi Långstrump,Astrid Lindgren,Puffin,1945    ,Fiction,978-0142402498,13
6237,The Scarlet Pimpernel,Emma Orczy,Penguin Classics,1900    ,Fiction,978-0141441733,18
6238,Justine,Marquis de Sade,Oxford Classics,1900    ,Fiction,978-0199554713,10
6239,Lady Chatterley's Lover,D. H. Lawrence,Penguin Classics,1900    ,Fiction,978-0141441498,15
6240,Pride and Prejudice,Jane Austen,Penguin Classics,1813    ,Fiction,978-0141439518,7
6241,Rayuela,Julio Cortázar,Pantheon,1963    ,Fiction,978-0394752846,11
6242,The history of the great plague in London in the year 1665,Daniel Defoe,Penguin Classics,1722    ,Fiction,978-0140430158,16
6243,The Magician's Nephew,C. S. Lewis,HarperCollins,1955    ,Fiction,978-0064405058,14
6244,Der Steppenwolf,Hermann Hesse,Picador,1927    ,Fiction,978-0312278670,20
6245,The Call of the Wild,Jack London,Puffin,1903    ,Fiction,978-0141321035,9
6246,The water-babies: a fairy tale for a land-baby,Charles Kingsley,Penguin Classics,1863    ,Fiction,978-0141442181,18
6247,A Caribbean Mystery,Agatha Christie,William Morrow,1964    ,Fiction,978-0062073839,20
6248,Nineteen Eighty-Four,George Orwell,Signet,1949    ,Fiction,978-0451524935,18
6249,"One, Two, Buckle My Shoe",Agatha Christie,William Morrow,1940    ,Fiction,978-0062073990,12
6250,The Canterville Ghost,Oscar Wilde,Digireads,1887    ,Fiction,978-1420931563,13
6251,The House of Mirth,Edith Wharton,Penguin Classics,1905    ,Fiction,978-0140187298,14
6252,Rebecca,Daphne du Maurier,Avon,1938    ,Fiction,978-0380730407,12
6253,A Midsummer Night's Dream,William Shakespeare,Folger Shakespeare,1600    ,Fiction,978-0743477543,11
